DESCRIPTION,Restaurant information
Salty Kitchen Restaurant::ratings,4;1;9;8;5;1;5;2;9;8;2;9;4;3;5;2;10;6;5;1;2;2;7;4;7;3;2;9;3;2;1;2;7;1;7;10;2;7;2;8;10;10;5;7;6;3;9;3;8;10;9;9;2;3;6;2;10;6;2;3;8;;4;4;6;5;8;1;2;10;2;3;10;7;8;1;2;6;4;7;5;10;2;9;10;7;6;10;9;8;1;3;2;8;1;9;9;4;7;10;7;3;5;8;5;1;9;10;5;10;7;7;4;1;10;6;10;8;10;3;8;2;6;6;6;9;3;9;5;7;6;2;6;1;10;9
City Salty Inc.::ratings,4;10;9;1;6;;10;1;4;9;6;5;4;10;10;6;5;5;3;10;2;6;10;8;5;5;7;8;3;1;2;2;9;4;4;7;5;2;9;2;3;6;7;1;9;1;3;7;3;8;2;1;2;4;5;8;6;5;4;2;8;9;6;5;4;1;9;4;7;2;3;3;5;1;8;4;1;2;8;9;10;3;8;10;4;3;5;10;2;6;9;6;9;7;1;10;6;7;4;8;6;7;7;9;1;3;4;1;1;7;9;2;7;6
Sweet Tasty Restaurant::ratings,7;5;7;8;8;3;;2;7;10;8;7;7;7;7;8;7;9;5;10;8;3;9;8;1;3;4;9;4;3;5;2;3;10;4;4;5;6;1;6;6;10;9;9;10;6;5;4;2;2;1;5;6;2;6;3;10;1;9;10;1;8;3;8;4;4;1;10;9;8;8;5;4;4;5;8;2;3;2;3;4;1;3;3;9;2;10;7;8;3;1;4;7;7;5;1;1;5;4;5;4;8;9;5;5;7;4;10;1;2;3;9
Delight Fish Inc.::ratings,7;4;10;8;2;10;5;2;10;9;9;7;9;5;2;6;1;10;1;6;2;7;6;6;7;9;1;4;9;5;8;1;1;4;7;10;3;1;9;4;7;5;6;7;2;7;6;3;3;1;10;8;3;6;2;9;4;3;3;4;9;8;4;5;1;1;2;6;9;5;2;8;2;1;1;3;9;1;4;5;7;2;7;3;5;6;5;4;10;7;1;6;6;5;8;2;5;7;5;4;8;2;8;3;7;3;5;9;8;6;2;8;10;8;6;8;9;2;8
City Big Restaurant::ratings,1;6;3;7;6;1;5;1;9;3;5;1;7;1;4;7;10;8;5;3;1;9;6;3;1;4;5;6;6;10;5;3;6;8;1;1;5;3;1;1;8;4;10;2;10;3;7;8;8;7;1;9;7;10;6;8;2;8;4;8;;5;5;9;5;4;1;4;;6;3;6;7;7;3;2;10;9;5;10;10;5;1;1;4;3;8;10;9;4;1;8;9;3;5;3;;10;5;4;6;2;8;9;2;9;1;9;5;8;2;3;3;3;6;10;9
Delight Salty Restaurant::ratings,7;10;3;8;10;10;3;5;7;2;9;3;8;5;2;7;8;2;6;4;2;7;10;3;1;3;3;3;1;3;10;5;7;10;4;7;10;7;4;8;3;10;9;3;6;10;1;4;10;7;10;8;2;6;6;5;5;6;1;1;7;5;3;10;6;8;3;8;3;10;10;4;7;10;9;2;5;3;10;7;1;1;8;8;1;6;7;5;4;7;5;1;6;1;7;10;2;4;5;6;10;1;1;6;10;5;7;8;3;2;2;6;;4;9;5;3;7;8;4;5;8;1;10;;2;10;10;1;7
City Tasty Restaurant::ratings,6;10;4;5;3;1;9;8;8;9;10;7;6;7;10;5;2;1;1;10;5;4;8;8;2;4;8;5;2;5;9;4;10;3;6;6;6;5;1;6;8;6;7;2;7;4;1;4;8;9;2;8;10;6;8;6;7;1;3;9;10;3;10;7;3;10;3;3;6;3;2;10;9;3;10;8;2;4;7;7;1;8;8;2;10;3;6;10;6;3;9;4;2;7;2;3;2;7;4;4;3;
City Kitchen Inc.::ratings,3;7;6;7;;7;7;9;6;7;2;3;6;7;3;1;4;3;6;10;;10;9;4;10;6;7;10;7;5;7;4;2;4;4;1;1;4;4;2;5;10;1;5;1;6;5;7;3;4;2;3;4;1;4;1;3;9;7;6;3;6;2;9;2;6;2;10;1;9;6;3;8;7;10;3;7;8;8;1;2;8;3;1;10;4;3;2;6;10;1;8;4;5;1;8;5;3;1;7;9;1;5;4;6;6;2;9;5;2
Big Sweet Inc.::ratings,9;1;5;5;9;4;2;6;8;4;4;4;10;3;1;2;6;4;8;1;6;3;8;5;2;9;10;10;6;4;3;9;2;1;9;2;5;1;6;2;3;4;;3;;6;3;10;3;9;4;4;2;10;8;10;1;2;6;2;10;10;4;5;6;1;6;8;2;4;1;8;7;4;1;3;3;4;10;6;1;3;3;3;6;1;10;5;10;2;7;4;6;8;1;8
City Salty Take-Out::ratings,3;4;10;10;4;3;1;1;10;8;10;5;10;3;7;10;2;1;4;5;5;1;10;5;10;1;1;2;4;10;2;7;4;8;5;1;;6;8;6;6;1;3;8;3;1;4;4;6;5;4;3;7;9;2;4;9;9;10;10;6;3;3;2;9;1;1;3;9;9;9;3;5;10;5;10;4;4;6;10;4;8;10;7;3;8;10;4;8;6;4;6;5;6;10;9;8;6;10;5;3;4;8;3;1;9;3
Fish Delight Restaurant::ratings,5;6;7;4;6;2;2;1;4;6;6;6;6;1;4;3;9;8;4;5;4;1;2;3;8;7;10;4;2;5;3;7;9;7;8;10;9;10;6;5;10;9;3;4;9;8;6;5;3;1;6;8;10;3;10;6;8;1;7;2;9;4;2;6;2;5;4;3;3;8;8;4;3;7;3;10;7;7;2;7;6;5;6;4;8;5;4;2;2;4;8;3;3;10;10;1;10;6;7;9;9;10;3;3;8;8;2;1;10
Sweet Kitchen Restaurant::ratings,2;3;3;8;7;5;3;4;4;9;8;9;2;6;10;4;7;8;8;7;8;9;10;4;8;3;8;6;4;1;8;6;5;9;1;2;4;7;6;2;1;1;8;6;8;2;4;4;5;7;3;5;3;7;9;5;7;6;1;1;2;10;9;9;7;10;2;1;3;10;3;7;1;6;6;10;4;3;1;7;6;9;2;6;4;6;5;;3;6;8;5;6;9;10;5;2;10;3;6;9;4;10;10;1;4;8
City City Restaurant::ratings,8;4;3;2;2;5;6;4;2;5;2;6;2;6;6;4;9;4;2;1;1;8;9;5;2;7;;3;4;8;9;9;3;10;5;10;6;8;1;9;4;3;9;1;5;6;5;7;8;8;6;8;1;1;10;7;3;8;2;7;5;4;3;5;7;8;3;8;5;1;4;3;3;1;4;3;7;10;6;3;8;9;10;3;4;6;9;7;2;5;7;4;9;5;9;4;9;9;7;5;8;2;4;2;7;4;1;4;10;3;9;2;;1;7;3;2;3;7;4;5;8;4;6;2;6;6;1;6;5;5;3;6;8;9;2;3;5;3;4;3;1;9;5;6;5;9;4;1;7;4;4;3
Goat Sweet Restaurant::ratings,3;10;1;10;3;1;10;9;7;10;9;7;7;2;9;1;4;7;9;7;4;2;9;4;6;7;3;8;;10;1;7;2;4;5;1;10;10;9;7;6;6;10;3;2;3;7;10;4;5;3;1;4;7;10;4;7;9;2;4;5;10;3;7;2;3;2;5;;5;4;2;4;6;6;9;6;3;5;2;3;4;8;7;5;1;3;8;1;5;9;1;1;9;10;9;8;7;3;3;2;10
Sweet City Restaurant::ratings,9;1;7;4;2;2;3;6;9;10;6;2;6;6;2;7;7;3;4;8;4;6;5;1;3;2;6;1;1;1;10;6;5;1;3;7;9;8;4;1;4;5;9;3;3;7;9;5;10;3;6;4;5;7;10;3;6;1;1;4;8;9;5;10;6;5;3;6;10;2;4;2;9;3;10;6;5;8;9;3;6;9;;10;10;4;6;1;10;1;7;9;5;2;10;7;4;5;6;5;9;10
Sweet City Take-Out::ratings,4;3;5;9;1;5;10;2;8;2;4;2;8;4;3;3;9;10;4;7;7;3;8;9;6;5;5;9;5;2;5;7;4;9;8;3;1;1;6;9;1;10;2;6;6;10;6;8;1;4;9;3;8;6;6;7;6;5;1;5;6;4;2;3;1;5;;6;2;10;10;5;6;9;8;2;3;4;8;10;4;9;7;5;3;3;9;3;4;9;9;10;3;5;7;1;3;1;1;4;1;6;5;3;7;1;8;7;8;3;5;10;1;1;7;1;9;8;7;7;2;4;3;8;4;5;9;6;3;8;9
Sweet Big Take-Out::ratings,1;3;7;10;10;2;5;8;4;9;6;1;9;5;6;6;5;9;7;9;9;8;4;5;2;3;6;3;9;5;2;6;8;6;9;9;3;10;3;4;10;1;3;6;1;3;6;10;4;7;1;8;5;10;8;2;2;3;1;1;1;9;1;2;10;5;5;3;9;4;4;7;1;3;8;2;5;9;8;10;;4;5;3;9;7;6;8;9;3;10;4;5;2;4;1;9;6;9;2;3;9;5
Goat Salty Take-Out::ratings,1;1;7;1;6;8;5;2;2;10;8;3;7;5;7;2;2;3;5;1;6;9;3;2;8;1;10;8;2;8;3;2;4;9;9;2;2;2;8;5;2;8;6;1;5;9;9;3;8;6;8;1;3;5;9;7;8;8;2;6;5;8;4;8;7;2;7;7;9;6;8;2;10;4;10;2;10;8;6;1;5;6;5;2;4;8;6;3;2;1;10;2;3;3;8;8;3;9;7;9;8;3;9;4;4;9;;1;8
Big Kitchen Inc.::ratings,7;9;4;8;9;5;2;2;7;7;2;8;5;7;4;2;3;8;4;6;8;3;3;4;6;2;1;7;7;8;7;4;8;2;9;4;5;6;7;6;3;9;5;6;5;5;2;3;4;5;5;1;7;6;7;1;3;1;3;10;9;1;6;5;9;9;4;10;5;1;10;2;9;7;3;4;6;6;2;7;6;8;6;3;8;2;2;6;1;10;9;3;3;9;4;8;6;1;4;4;1;2;7;10;1;8
Sweet Delight Take-Out::ratings,9;4;2;6;1;10;4;2;6;6;2;7;6;2;10;8;4;8;3;1;9;7;7;5;1;5;1;6;3;9;4;5;8;1;3;6;6;6;9;6;5;1;8;6;3;4;5;5;2;10;10;4;8;1;8;6;7;10;8;6;10;4;3;2;10;5;2;2;1;5;4;5;10;;6;4;7;5;7;1;10;6;3;6;10;1;9;8;5;2;5;3;9;2;9;2;4;7;2;1;8;7;7;1;6;10;6;8;2;7;6;5;9;2;5;10;2;3;9;10;5;6
Sweet City Take-Out//ratings,8
Big Delight Restaurant::ratings,3;1;7;9;;6;5;9;8;1;5;9;1;3;3;8;3;2;10;9;6;2;2;5;8;10;3;5;9;2;6;9;2;9;8;9;7;3;9;1;3;9;9;7;4;1;5;1;8;2;6;2;4;4;2;10;7;7;6;6;5;9;8;1;10;7;6;10;3;9;7;3;6;7;7;5;9;7;9;3;7;5;10;9;6;5;6;7;3;3;1;9;10;2;10;1;5;2;3;6;9;4;8;7;9;10;8;7;3;9;9;3;8;3;7;3;4;8;7;2;5;7;3
Delight Big Restaurant::ratings,8;3;4;1;9;3;8;8;10;7;6;2;9;7;2;6;9;5;6;2;8;3;10;3;3;5;7;6;3;8;10;2;5;9;4;10;8;10;6;8;6;6;1;6;10;6;1;4;3;5;5;3;9;8;4;1;8;2;2;7;5;7;9;4;8;6;5;;3;2;6;9;10;8;10;3;8;6;3;3;9;8;5;1;3;3;10;7;7;3;4;4;5;10;8;9;7;10;5;10;2;5;1
Sweet Salty Take-Out::ratings,8;9;2;6;9;2;10;9;3;9;3;9;7;10;8;5;5;8;4;8;4;8;9;8;8;8;3;9;3;9;9;7;5;9;3;9;4;8;10;2;1;3;9;8;6;2;10;2;8;5;7;;8;7;1;7;4;2;2;7;2;5;1;8;6;10;1;5;8;3;8;4;1;9;10;7;7;4;5;1;7;5;8;3;4;9;2;1;2;1;3;4;6;2;5;1;7;1;4;9;1;6;2;3;1;5;1;4;4;4;9;3;10;3;4;8;10;5;6;8;6;8;4;2;7;6;8;4;4;3;8;2;6;10;2;5
City Delight Inc.::ratings,9;6;2;6;2;7;6;10;2;9;7;2;4;1;7;7;4;4;7;3;1;8;8;2;2;5;5;3;5;10;2;6;5;7;5;6;5;4;10;3;5;7;8;9;2;7;6;5;9;4;5;7;1;5;10;2;4;10;5;5;6;2;5;7;5;2;7;8;2;8;5;10;6;9;5;2;7;7;8;6;5;2;2;1;6;5;2;8;6;10;9;5;5;6;4;6;8;4;1;3;10;9;9;9;7;1;5;4;8;10;4;4;1;3;2;4;9
Salty Delight Take-Out::ratings,3;7;10;1;3;6;3;9;6;3;5;2;4;4;3;1;5;3;5;3;2;6;4;2;4;4;2;9;5;8;5;7;7;10;1;3;7;2;1;6;10;2;8;10;1;1;10;1;5;10;6;1;8;9;5;4;7;8;5;9;2;7;8;10;4;1;8;6;7;;5;3;10;10;2;4;1;6;3;1;3;4;1;10;2;7;4;6;8;7;8;9;1;3;7;8;4;4;1;9;2;1;10;1;8;6;6;9;7;2;8;7;5;10
Tasty Delight Inc.::ratings,5;3;10;1;9;3;7;3;4;2;9;8;10;7;8;7;6;5;8;8;5;1;6;4;6;8;4;6;3;9;9;1;10;1;3;8;2;7;2;3;5;2;9;5;4;6;3;3;4;8;7;6;2;3;1;10;8;6;8;4;2;8;2;3;1;8;7;3;3;3;7;1;7;3;3;9;8;4;10;2;8;2;7;7;8;3;6;3;6;1;7;9;9;9;3;6;5;9;7;6;10;10;7;3;8;8;3;1;7;4;4;10;8;2;3;6;9
Salty Fish Take-Out::ratings,2;8;4;1;2;3;5;7;1;9;9;4;4;4;3;8;9;8;9;1;8;8;7;1;6;5;5;3;8;8;8;1;7;7;7;2;7;2;1;7;3;4;7;2;5;1;6;10;4;7;2;9;6;1;8;7;2;3;2;10;6;4;10;10;3;3;10;7;6;8;6;2;3;1;8;7;7;3;7;3;7;8;4;9;7;4;3;9;9;3;1;2;2;3;7;;2;10;3;1;10;5;7;3;1;6;5;9;1;4;10;10;9;10;8;8;1;4;4;8;4;9;4;1;8;5;1;3;1;10;8;7;4;2
Kitchen Tasty Inc.::ratings,6;7;2;4;4;10;7;1;4;5;5;7;4;3;9;10;7;9;5;7;1;9;9;4;6;7;6;3;5;7;3;2;9;6;7;7;9;6;9;10;1;8;10;7;8;2;10;9;8;5;3;5;9;5;6;2;2;8;6;3;1;3;;7;6;1;4;7;10;8;2;6;4;4;7;10;5;9;6;5;7;6;7;3;8;7;1;9;3;2;6;3;10;2;7
Salty City Take-Out::ratings,6;10;1;7;5;3;4;1;5;10;10;8;2;10;7;6;8;2;2;9;8;7;1;1;;6;6;5;1;1;2;7;5;3;9;10;2;2;2;1;5;9;7;9;4;5;10;7;2;10;2;3;6;5;10;2;3;7;7;4;6;10;8;4;2;9;7;3;5;6;9;9;10;4;8;4;7;9;3;2;10;4;3;4;9;2;1;5;2;4;5;7;7;9;3;5;1;8;8
Goat Delight Restaurant::ratings,8;5;5;5;1;5;3;6;10;1;5;9;5;10;1;5;9;6;7;6;3;6;1;8;10;2;5;9;9;2;6;5;3;8;9;4;1;3;7;7;10;4;7;10;5;6;3;5;10;2;3;7;8;4;6;5;2;8;6;1;6;5;5;10;7;3;8;5;7;5;8;2;8;5;2;2;4;8;6;9;7;10;8;5;3;6;6;3;6;4;7;6;7;1;3;1;9;5;2;1;4;10;2;1;3;5;9;9;5;4;4;3;1;4;5;4
Tasty Goat Restaurant::ratings,3;3;3;7;5;1;7;3;7;1;10;3;7;6;1;8;;10;6;6;9;1;7;8;4;1;7;2;8;1;8;3;1;10;7;10;8;8;4;;9;7;8;2;6;8;10;1;6;8;7;3;9;8;5;4;1;2;7;1;6;10;10;9;7;7;7;10;7;6;6;3;5;4;1;5;7;1;2;2;6;1;4;7;6;4;1;9;10;7;3;2;4;8;2;6;9;3;7;7;6;6;6;6;3;6
Fish City Restaurant::ratings,6;10;4;3;10;5;1;4;7;8;5;2;1;5;1;8;1;2;1;7;4;10;10;7;8;4;3;5;2;3;3;4;;10;5;10;9;3;4;4;3;9;2;10;2;4;2;9;7;10;2;10;7;1;1;6;6;2;4;9;1;8;7;7;7;4;1;1;3;6;10;7;4;3;10;2;9;2;4;6;10;2;4;7;4;1;4;9;4;7;4;9;9;7;3;3;1;2;7;2;5;1;10;1;4;7;1;8;10;3;9;4;1;8;9
Tasty Fish Inc.::ratings,2;1;1;10;5;7;1;4;8;10;7;7;6;8;4;8;;3;4;3;2;5;1;6;5;7;3;3;5;4;6;9;8;8;2;6;6;8;3;2;7;;7;1;9;6;5;9;6;1;6;8;7;3;4;2;8;6;7;7;2;3;2;8;1;5;3;5;8;4;9;8;2;8;10;2;5;10;8;9;2;7;10;6;8;10;4;5;1;2;1;;4;2;1;9;3;5
Big Tasty Take-Out::ratings,10;1;4;6;10;8;6;9;7;8;7;7;;1;5;5;1;10;8;8;9;8;4;7;1;7;8;2;10;2;10;9;2;1;1;3;6;4;3;6;2;8;6;2;3;10;4;7;2;4;5;9;7;9;2;10;7;7;3;9;9;6;1;4;5;3;7;7;1;1;8;5;9;8;9;4;2;9;1;8;1;7;3;3;5;9;8;10;10;9;3;9;7;2;2;7;1;8;9
Big Kitchen Inc.//ratings,6;10;9
Goat Delight Restaurant//ratings,3;6
City Big Restaurant//ratings,10;8;3
City City Restaurant//ratings,7;7;10
Tasty Sweet Inc.//ratings,3;1;10
Tasty Fish Inc.//ratings,4;9;3
Big Sweet Take-Out//ratings,3;6;10
Tasty Goat Restaurant//ratings,8;10
Big Tasty Take-Out//ratings,3
Big Big Restaurant//ratings,1;5;5
Sweet Delight Take-Out//ratings,9;1
Salty Delight Take-Out//ratings,10;9
Sweet Tasty Restaurant//ratings,1;1;6;8
Salty Big Take-Out//ratings,8;10
City Salty Take-Out//ratings,7
Delight Big Restaurant//ratings,2
City Delight Inc.//ratings,8
Goat Fish Take-Out//ratings,3;5
City Tasty Restaurant//ratings,1
Fish City Restaurant//ratings,9
Delight Goat Inc.//ratings,6
Kitchen Tasty Inc.//ratings,9
Goat Sweet Inc.//ratings,6
Goat Salty Take-Out//ratings,1;5
Tasty Delight Inc.//ratings,9
Kitchen Tasty Inc.::info::phone,+1 524 555 9265
Kitchen Tasty Inc.::info::cuisine,Mexican
Sweet Salty Take-Out::info::phone,+1 408 555 6924
Sweet Salty Take-Out::info::cuisine,Sandwich
City Kitchen Inc.::info::phone,+1 528 555 8923
City Kitchen Inc.::info::cuisine,Vegetarian
Sweet Delight Take-Out::info::phone,+1 597 555 8372
Sweet Delight Take-Out::info::cuisine,Mexican
Salty Salty Restaurant::info::phone,+1 987 555 2479
Salty Salty Restaurant::info::cuisine,Italian
Fish City Restaurant::info::phone,+1 851 555 1082
Fish City Restaurant::info::cuisine,American
Tasty Sweet Inc.::info::phone,+1 438 555 1980
Tasty Sweet Inc.::info::cuisine,Pizza
Delight Fish Inc.::info::phone,+1 290 555 2089
Delight Fish Inc.::info::cuisine,American
Fish Delight Restaurant::info::phone,+1 804 555 3156
Fish Delight Restaurant::info::cuisine,Pizza
Salty Big Take-Out::info::phone,+1 412 555 5839
Salty Big Take-Out::info::cuisine,American
Sweet Big Take-Out::info::phone,+1 298 555 8031
Sweet Big Take-Out::info::cuisine,Sushi
Tasty Fish Inc.::info::phone,+1 935 555 8029
Tasty Fish Inc.::info::cuisine,Mexican
Big Tasty Take-Out::info::phone,+1 821 555 0415
Big Tasty Take-Out::info::cuisine,Italian
Salty Fish Take-Out::info::phone,+1 140 555 4869
Salty Fish Take-Out::info::cuisine,American
Tasty Salty Restaurant::info::phone,+1 954 555 6182
Tasty Salty Restaurant::info::cuisine,Sandwich
Salty Kitchen Restaurant::info::phone,+1 793 555 4052
Salty Kitchen Restaurant::info::cuisine,Sushi
City Salty Inc.::info::phone,+1 156 555 6140
City Salty Inc.::info::cuisine,Pizza
Delight Goat Inc.::info::phone,+1 107 555 5478
Delight Goat Inc.::info::cuisine,Vegetarian
Goat Salty Take-Out::info::phone,+1 420 555 0594
Goat Salty Take-Out::info::cuisine,Vegetarian
Tasty Delight Inc.::info::phone,+1 826 555 2461
Tasty Delight Inc.::info::cuisine,Sushi
Big Big Restaurant::info::phone,+1 365 555 7065
Big Big Restaurant::info::cuisine,Sandwich
Sweet Kitchen Restaurant::info::phone,+1 469 555 8516
Sweet Kitchen Restaurant::info::cuisine,Vegetarian
Sweet City Restaurant::info::phone,+1 605 555 2103
Sweet City Restaurant::info::cuisine,Sandwich
City Tasty Restaurant::info::phone,+1 309 555 8924
City Tasty Restaurant::info::cuisine,Pizza
Delight Salty Restaurant::info::phone,+1 870 555 6420
Delight Salty Restaurant::info::cuisine,Sandwich
Salty City Take-Out::info::phone,+1 472 555 1452
Salty City Take-Out::info::cuisine,Italian
Goat Sweet Inc.::info::phone,+1 836 555 8140
Goat Sweet Inc.::info::cuisine,Sandwich
Sweet City Take-Out::info::phone,+1 401 555 3580
Sweet City Take-Out::info::cuisine,Italian
Delight Big Restaurant::info::phone,+1 749 555 4520
Delight Big Restaurant::info::cuisine,Sandwich
City Delight Inc.::info::phone,+1 528 555 6548
City Delight Inc.::info::cuisine,American
Goat Fish Take-Out::info::phone,+1 915 555 2453
Goat Fish Take-Out::info::cuisine,Mexican
Big Delight Restaurant::info::phone,+1 201 555 1604
Big Delight Restaurant::info::cuisine,Italian
Goat Sweet Restaurant::info::phone,+1 725 555 1238
Goat Sweet Restaurant::info::cuisine,Italian
Goat Delight Restaurant::info::phone,+1 153 555 5906
Goat Delight Restaurant::info::cuisine,Sandwich
Tasty Goat Restaurant::info::phone,+1 425 555 9630
Tasty Goat Restaurant::info::cuisine,Mexican
Salty Delight Take-Out::info::phone,+1 917 555 6970
Salty Delight Take-Out::info::cuisine,Pizza
Big Kitchen Inc.::info::phone,+1 615 555 3178
Big Kitchen Inc.::info::cuisine,American
Big Sweet Take-Out::info::phone,+1 805 555 5701
Big Sweet Take-Out::info::cuisine,American
City Big Restaurant::info::phone,+1 345 555 2658
City Big Restaurant::info::cuisine,Italian
Sweet Tasty Restaurant::info::phone,+1 497 555 2810
Sweet Tasty Restaurant::info::cuisine,American
City City Restaurant::info::phone,+1 902 555 2508
City City Restaurant::info::cuisine,Sandwich
Big Sweet Inc.::info::phone,+1 174 555 4813
Big Sweet Inc.::info::cuisine,Mexican
Goat Big Take-Out::info::phone,+1 278 555 9438
Goat Big Take-Out::info::cuisine,Mexican
City Salty Take-Out::info::phone,+1 541 555 3246
City Salty Take-Out::info::cuisine,Sandwich
