resp,comp,fproj,timezone,sfips,smsa,qcendiv,sstate,phtype,susr,qmarket,scregion,sdensity3,cregion,state,fips,density3,qlan,qs1,cintro,qs1a,ns1,cointro,qs2a,qs2b,ss2c,qs3,qs4,sex,q1,q2,q3,q4,q6,q7oe,q7.1,q7.2,q7.3,q7.4,q7.5,q7@,q7a,q8a,q8b,q8c,q8d,q8e,q8f,q8g,q8h,int1,int2,q9a,q9b,q9c,q9d,q9e,q9f,q10,q10a,q10b,q13,q14,q15,age,educ,schl,schl2,schl2@,rschl,rschl2,rschl2@,q17,q17@,q18a,q18b,q18c,q18d,q18e,q19,q20,q21,q22,q23a,q23b,q23c,l1,q24,q25,q25a,q26a,q26b,q26c,q26d,q26e,q26f,q26g,employ,employ2,employ2@,employ3,q31,q32,q33,q34,q35,q36,q37,q38,q39,q40,q41,q42,q43,q44a,q44b,q44c,q44d,q44dd,q44e,q44f,q44g,q44h,q44i,q45a,q45b,q46,q47,q48,marital,lwp2,lwp3,kidsa,fam1,fam2,fixhisp,hispx,hisp2,hisp3,racecmb,race1_1,race1_2,race1_3,race1_4,racethn,hh1,hh2,hh30,relig,relig@,chr,born,attend,income,finan,health,regist,regicert,party,partyln,ideo,birthh,mothrh,fathrh,home,home2,l1a,l2,l3,qc1,qc2,qc3,isex,ihisp1,irace1_1,irace1_2,irace1_3,irace1_4,ilang,fdate,fdow,phoneuse,adults,psadjust,puadjust,wt1,q46x
459.0,Complete,4968,Eastern,37167,0.0,5,NC,1.0,R,3,3,2,South,NC,37167,2.0,English,,,,,,,,,,,Female,Very happy,Dissatisfied,Satisfied,Can't be too careful,"Yes, unique and distinct",Answer given,Values/Morals/Religious beliefs,,,,,morals are highrer and belive  in religion,Government is doing too many things better left to businesses and individuals,Very important but not the most,Very important but not the most,One of the most important things,One of the most important things,Somewhat important,Not important,Very important but not the most,Somewhat important,No,No,"No, did not",,,"No, did not","No, did not","No, did not",Voted,(VOL) Don't remember which candidate,,Always,Yes has changed,,67.0,High school graduate (Grade 12 or GED certificate),,,,,,,,,Bad thing for society,Bad thing for society,Bad thing for society,Doesn't make much difference,Doesn't make much difference,,,,,New technology makes people more isolated,New technology allows people to use their time more efficiently,New technology makes life easier,"No, do not",,,,,,,No,No,No,Yes,Full-time,,,Work for someone else,Just a job to get you by,Yes,,,,Not at all closely,Yes,Not at all likely,Very likely,Government,Strongly oppose,Should be saving and investing more,"Yes, but have not done it in last 12 months (or unsure if done in last 12 months)",Yes,No,Yes,,Yes,Yes,No,,,,No,No,,,No,Married,"No, have not",,No,Both parents,Married,HISP2,Not Hispanic,No,,White,White,,,,White non-Hispanic,2.0,0.0,,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church",<11:(VOL) Something else {SPECIFY}>:metondist,Yes,(VOL) Don't know/Refused,Once or twice a month,"30 to under $40,000,",,Covered by health insurance,"Yes, registered",Absolutely certain,Independent,(VOL) Other/Don't know/Refused,Conservative,,,,Own,,No,,,,,,Female,No,Black or African-American,,,,English,100120,Wednesday,LLO,2.0,2.0,2.0,4.0,0.0
461.0,Complete,4968,Eastern,18097,26900.0,3,IN,1.0,U,2,2,5,Midwest,IN,18097,5.0,English,,,,,,,,,,,Male,Pretty happy,Satisfied,Satisfied,Can't be too careful,"No, not",,,,,,,,Government should do more to solve problems,Very important but not the most,Very important but not the most,Very important but not the most,Very important but not the most,Very important but not the most,Not important,Very important but not the most,Very important but not the most,No,No,"No, did not",,,"No, did not","No, did not","No, did not",Voted,Obama,,Always,Yes has changed,,91.0,High school incomplete (Grades 9-11),,,,,,,,,Bad thing for society,Doesn't make much difference,Bad thing for society,Bad thing for society,Doesn't make much difference,,,,,New technology makes people closer to their friends and family,New technology makes people waste too much time,(VOL) Both equally,"Yes, have cell phone",No,,,,,,No,No,Yes,Yes,Not employed,Retired,,,,,,Yes,,Very closely,,,,Government,Favor,Saving and investing as much as you should,"Yes, but have not done it in last 12 months (or unsure if done in last 12 months)",Yes,No,Yes,,No,No,No,,No,Yes,No,No,,,No,Widowed,"No, have not",,No,Only your mother,Married,HISP3,Not Hispanic,,No,Black or African-American,Black or African-American,,,,Black non-Hispanic,1.0,,,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church",,,"Yes, would",Seldom,"30 to under $40,000,",,Covered by health insurance,"Yes, registered",Absolutely certain,Democrat,,Moderate,,,,Own,,,All or almost all calls on a regular home phone,,,,,Female,No,White,,,,English,100120,Wednesday,"Dual/few, some cell",1.0,1.0,1.0,1.0,0.0
462.0,Complete,4968,Eastern,36029,15380.0,2,NY,1.0,S,1,1,4,Northeast,NY,36029,4.0,English,,,,,,,,,,,Female,Very happy,Satisfied,Satisfied,Most people can be trusted,(VOL) Don't know/Refused,,,,,,,,(VOL) Don't know/Refused,Very important but not the most,One of the most important things,One of the most important things,One of the most important things,(VOL) Don't know/Refused,Not important,(VOL) Don't know/Refused,(VOL) Don't know/Refused,No,No,"No, did not",,,"No, did not",(VOL) Don't know/Refused,"No, did not",Voted,Obama,,Always,Yes has changed,,93.0,"College graduate (B.S., B.A., or other 4-year degree)",,,,,,,,,Bad thing for society,Bad thing for society,Bad thing for society,Bad thing for society,Doesn't make much difference,,,,,New technology makes people closer to their friends and family,(VOL) Don't know/Refused,New technology makes life easier,"No, do not",,,,,,,No,Yes,Yes,Yes,Not employed,Retired,,,,,,Yes,,(VOL) Don't know/Refused,,,,Government,Strongly oppose,(VOL) Don't know/Refused,"Yes, but have not done it in last 12 months (or unsure if done in last 12 months)",No,No,No,,Yes,No,No,,,,No,No,,,No,Widowed,"No, have not",,No,Both parents,Married,HISP3,Not Hispanic,,No,White,White,,,,White non-Hispanic,1.0,,,Roman Catholic (Catholic),,,"No, would not",Once a week,(VOL) Don't know/Refused,,Covered by health insurance,"Yes, registered",Absolutely certain,Democrat,,Very liberal?,,,,(VOL) Other arrangement,,,,,,,,Female,No,White,,,,English,100120,Wednesday,LLO,1.0,1.0,2.0,2.0,0.0
463.0,Complete,4968,Eastern,37067,49180.0,5,NC,1.0,U,3,3,3,South,NC,37067,3.0,English,,,,,,,,,,,Male,Pretty happy,Dissatisfied,Dissatisfied,Can't be too careful,"Yes, unique and distinct",Answer given,More rebellious/disobedient/unruly/disrespectful,,,,,We dont have much respect for ourselves.,Government should do more to solve problems,Somewhat important,Very important but not the most,Somewhat important,Very important but not the most,Somewhat important,Not important,Somewhat important,One of the most important things,Yes,Yes,"No, did not","No, did not","No, did not","No, did not","No, did not","No, did not",Voted,Obama,,Always,"No, has not changed",Opponents and special interests have prevented change,40.0,"Some college, no 4-year degree (including associate degree)",No,,,No,,,,,Bad thing for society,Good thing for society,Doesn't make much difference,Good thing for society,Good thing for society,Yes,About once a day,No,Yes,New technology makes people more isolated,New technology makes people waste too much time,New technology makes life more complicated,"Yes, have cell phone",Yes,12.0,,No,No,No,No,No,Yes,Yes,Full-time,,,Work for someone else,A career,Yes,,,,Very closely,Yes,Not at all likely,Very likely,Government,Oppose,Saving and investing as much as you should,"Yes, but have not done it in last 12 months (or unsure if done in last 12 months)",No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,1.0,"No, not visible",No,Married,"Yes, have",Lived with current spouse before married,Yes,Both parents,Married,HISP2,Not Hispanic,No,,Black or African-American,Black or African-American,,,,Black non-Hispanic,5.0,1.0,,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church",,,"No, would not",Seldom,"50 to under $75,000,",,Covered by health insurance,"Yes, registered",Absolutely certain,Democrat,,Conservative,,,,Own,,,,Some on a cell phone and some on a regular home phone,,,,Female,No,White,,,,English,100124,Sunday,"Dual/few, some cell",4.0,2.0,1.0,2.0,1.0
464.0,Complete,4968,Eastern,51195,0.0,5,VA,1.0,R,3,3,2,South,VA,51195,2.0,English,,,,,,,,,,,Female,Very happy,Dissatisfied,Satisfied,Can't be too careful,"Yes, unique and distinct",Answer given,Values/Morals/Religious beliefs,,,,,they have higher moral standards,Government should do more to solve problems,Not important,One of the most important things,Very important but not the most,One of the most important things,Very important but not the most,Not important,One of the most important things,One of the most important things,Yes,Yes,"No, did not","No, did not","No, did not","No, did not","No, did not","Yes, did this",Voted,(VOL) Refused,,Always,Yes has changed,,73.0,High school graduate (Grade 12 or GED certificate),,,,,,,,,Bad thing for society,Bad thing for society,Bad thing for society,(VOL) Don't know/Refused,Doesn't make much difference,Yes,Several times a day,No,No,New technology makes people more isolated,New technology makes people waste too much time,New technology makes life more complicated,"No, do not",,,,Yes,Yes,Yes,No,Yes,Yes,Yes,Not employed,Retired,,,,,,Yes,,Very closely,,,,Government,Strongly oppose,Saving and investing as much as you should,"No, have not ever done it",No,No,Yes,No,No,Yes,No,,,,No,No,,,No,Married,"No, have not",,No,Both parents,Married,HISP3,Not Hispanic,,No,White,White,,,,White non-Hispanic,3.0,0.0,,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church",,,"Yes, would",More than once a week,"10 to under $20,000,",,Covered by health insurance,"Yes, registered",Absolutely certain,(VOL) Don't know/Refused,Republican,Conservative,,,,Own,,No,,,,,,Female,No,White,,,,English,100120,Wednesday,LLO,3.0,2.0,2.0,4.0,0.0
465.0,Complete,4968,Eastern,39113,19380.0,3,OH,1.0,S,2,2,4,Midwest,OH,39113,4.0,English,,,,,,,,,,,Male,Pretty happy,Dissatisfied,Dissatisfied,Can't be too careful,"Yes, unique and distinct",Answer given,Baby Boomers,,,,,because we are that baby booming generations,Government should do more to solve problems,Very important but not the most,One of the most important things,Very important but not the most,(VOL) Don't know/Refused,Somewhat important,Not important,Somewhat important,Very important but not the most,Yes,Yes,"Yes, did this","No, did not","No, did not","Yes, did this","No, did not","No, did not",Voted,Obama,,Always,"No, has not changed",Obama hasn't really tried to change things,63.0,"College graduate (B.S., B.A., or other 4-year degree)",No,,,No,,,,,Bad thing for society,Doesn't make much difference,Bad thing for society,Bad thing for society,Doesn't make much difference,No,,No,No,New technology makes people closer to their friends and family,New technology makes people waste too much time,New technology makes life easier,"Yes, have cell phone",No,,,No,Yes,Yes,No,No,Yes,Yes,Not employed,Retired,,,,,,No,No,Very closely,,,,(VOL) Both,(VOL) Don't know/Refused,Should be saving and investing more,"No, have not ever done it",Yes,No,Yes,No,No,No,No,,Yes,No,No,No,,,No,Married,"No, have not",,No,Both parents,Married,HISP2,Not Hispanic,No,,White,White,,,,White non-Hispanic,2.0,0.0,,Roman Catholic (Catholic),,,"No, would not",Once a week,"50 to under $75,000,",,Covered by health insurance,"Yes, registered",Absolutely certain,Independent,(VOL) Other/Don't know/Refused,Moderate,,,,Own,,,,All or almost all calls on a regular home phone,,,,Female,No,White,,,,English,100120,Wednesday,"Dual/few, some cell",2.0,2.0,1.0,2.0,0.0
466.0,Complete,4968,Eastern,18081,26900.0,3,IN,1.0,S,2,2,3,Midwest,IN,18081,3.0,English,,,,,,,,,,,Male,Not too happy,Dissatisfied,Satisfied,Can't be too careful,"Yes, unique and distinct",Answer given,Trustworthy/Honest/Honorable,Respectful,Family dynamics/Family-oriented/Different approach to families,A/O different demographics mentions,,"marriages lasted, children raised differently, understanding the meaning of NO. People were more trustworthy",Government is doing too many things better left to businesses and individuals,Not important,Very important but not the most,One of the most important things,One of the most important things,Somewhat important,Not important,One of the most important things,Very important but not the most,No,No,"Yes, did this",,,"No, did not","No, did not","No, did not",Voted,McCain,,Always,Yes has changed,,79.0,"Some college, no 4-year degree (including associate degree)",,,,,,,,,Bad thing for society,Bad thing for society,Bad thing for society,Bad thing for society,Bad thing for society,,,,,New technology makes people more isolated,New technology makes people waste too much time,New technology makes life more complicated,"Yes, have cell phone",No,,,,,,No,Yes,Yes,Yes,Not employed,Retired,,,,,,Yes,,Fairly closely,,,,Business corporations,Strongly oppose,Saving and investing as much as you should,"Yes, but have not done it in last 12 months (or unsure if done in last 12 months)",No,No,Yes,,No,No,Yes,,No,No,No,No,,,No,Widowed,"No, have not",,No,Both parents,Married,HISP2,Not Hispanic,No,,White,White,,,,White non-Hispanic,1.0,,,Roman Catholic (Catholic),,,"No, would not",More than once a week,"30 to under $40,000,",,Covered by health insurance,"Yes, registered",Absolutely certain,Republican,,Very conservative,,,,Own,,,All or almost all calls on a regular home phone,,,,,Female,No,Black or African-American,,,,English,100120,Wednesday,"Dual/few, some cell",1.0,1.0,1.0,1.0,0.0
467.0,Complete,4968,Eastern,42129,38300.0,2,PA,1.0,S,1,1,3,Northeast,PA,42129,3.0,English,,,,,,,,,,,Female,Not too happy,Dissatisfied,Satisfied,Can't be too careful,"Yes, unique and distinct",Answer given,Conservative/Old-fashioned/Traditional,,,,,"Well fore one, we just don't do the weird things that kids do today. Your generation was more reserved",Government should do more to solve problems,Very important but not the most,Very important but not the most,Very important but not the most,Very important but not the most,Somewhat important,Not important,Somewhat important,Very important but not the most,Yes,Yes,"No, did not","No, did not","No, did not","No, did not","Yes, did this","Yes, did this",Voted,McCain,,Always,"No, has not changed",Obama hasn't really tried to change things,69.0,High school graduate (Grade 12 or GED certificate),,,,,,,,,Bad thing for society,Bad thing for society,Bad thing for society,Bad thing for society,Doesn't make much difference,No,,No,No,New technology makes people more isolated,New technology makes people waste too much time,New technology makes life more complicated,"Yes, have cell phone",No,,,No,Yes,Yes,Yes,No,No,Yes,Not employed,Retired,,,,,,No,Yes,Very closely,,,,Government,Strongly oppose,Should be saving and investing more,"No, have not ever done it",Yes,No,No,No,No,No,No,,Yes,Yes,No,No,,,No,Widowed,"No, have not",,No,Both parents,Married,HISP2,Not Hispanic,No,,White,White,,,,White non-Hispanic,1.0,,,Roman Catholic (Catholic),,,"Yes, would",A few times a year,(VOL) Don't know/Refused,,Covered by health insurance,"Yes, registered",Absolutely certain,Republican,,Moderate,,,,(VOL) Other arrangement,,,All or almost all calls on a regular home phone,,,,,Male,No,Or some other race,,,,English,100120,Wednesday,"Dual/few, some cell",1.0,1.0,1.0,1.0,0.0
468.0,Complete,4968,Eastern,25021,14460.0,1,MA,1.0,S,1,1,4,Northeast,MA,25021,4.0,English,,,,,,,,,,,Female,Pretty happy,Dissatisfied,Satisfied,Can't be too careful,"Yes, unique and distinct",Answer given,A/O different values/traits/attitudes mentions,Better/Stronger,,,,"because they way people used to live was great, there are currently no morals, people were pretty good years ago",Government should do more to solve problems,Very important but not the most,Somewhat important,Somewhat important,Very important but not the most,Somewhat important,Not important,Somewhat important,Somewhat important,No,No,"Yes, did this",,,"Yes, did this","No, did not","No, did not",Voted,Obama,,Nearly always,"No, has not changed",Opponents and special interests have prevented change,78.0,High school graduate (Grade 12 or GED certificate),,,,,,,,,Doesn't make much difference,Bad thing for society,Doesn't make much difference,Good thing for society,Doesn't make much difference,,,,,New technology makes people more isolated,New technology allows people to use their time more efficiently,New technology makes life easier,"No, do not",,,,,,,No,Yes,Yes,No,Not employed,(VOL) Other reason (SPECIFY),<5:(VOL) Other reason (SPECIFY)>:disabled,,,,,Yes,,Fairly closely,,,,Government,Strongly oppose,Saving and investing as much as you should,Yes have done it in last 12 months,Yes,No,No,,No,Yes,No,,,,No,No,,,No,Widowed,"No, have not",,No,Only your father,Widowed,HISP3,Not Hispanic,,No,White,White,,,,White non-Hispanic,2.0,0.0,,Roman Catholic (Catholic),,,(VOL) Don't know/Refused,Once or twice a month,"10 to under $20,000,",,Covered by health insurance,"Yes, registered",Absolutely certain,Democrat,,Moderate,,,,Own,,"Yes, someone in household has cell phone",,Some on a cell phone and some on a regular home phone,,,,Male,No,White,,,,English,100120,Wednesday,"Dual/few, some cell",2.0,2.0,1.0,2.0,0.0
470.0,Complete,4968,Eastern,54045,0.0,5,WV,1.0,R,3,3,1,South,WV,54045,1.0,English,,,,,,,,,,,Male,Not too happy,Dissatisfied,Dissatisfied,Can't be too careful,"No, not",,,,,,,,Government should do more to solve problems,Very important but not the most,Very important but not the most,Not important,One of the most important things,Very important but not the most,Not important,One of the most important things,Very important but not the most,Yes,Yes,"No, did not","Yes, did this","Yes, did this","No, did not","No, did not","Yes, did this",Voted,Obama,,Always,"No, has not changed",Obama hasn't really tried to change things,23.0,High school graduate (Grade 12 or GED certificate),No,,,No,,,You don't have time to be in school right now,,Bad thing for society,Doesn't make much difference,Doesn't make much difference,Bad thing for society,Doesn't make much difference,Yes,Several times a day,No,Yes,(VOL) Both equally,New technology allows people to use their time more efficiently,New technology makes life easier,"Yes, have cell phone",Yes,240.0,,Yes,Yes,Yes,No,Yes,No,Yes,Full-time,,,Both,A career,No,No,,,Very closely,Yes,Not very likely,Very likely,Government,Oppose,Should be saving and investing more,Yes have done it in last 12 months,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,27.0,"No, not visible",No,Never been married,"Yes, have",,No,Only your mother,Divorced,HISP3,Not Hispanic,,No,White,White,,,,White non-Hispanic,4.0,0.0,,(VOL) Christian,,,"No, would not",A few times a year,"50 to under $75,000,",No,Not covered by health insurance,"Yes, registered",Absolutely certain,Democrat,,Very conservative,,,,,Own,,,All or almost all calls on a cell phone,,,,Female,No,White,,,,English,100120,Wednesday,Dual/most cell,4.0,2.0,1.0,2.0,27.0
471.0,Complete,4968,Eastern,36081,35620.0,2,NY,1.0,U,1,1,5,Northeast,NY,36081,5.0,English,,,,,,,,,,,Male,Pretty happy,Dissatisfied,(VOL) Don't know/Refused,Can't be too careful,"Yes, unique and distinct",Answer given,Smarter/More well-educated/Wiser,,,,,we experiemce more,Government should do more to solve problems,Not important,Not important,(VOL) Don't know/Refused,(VOL) Don't know/Refused,Not important,Not important,Very important but not the most,One of the most important things,No,No,"No, did not",,,"No, did not","No, did not","No, did not",Voted,Obama,,Always,(VOL) Don't know/Refused,,80.0,High school graduate (Grade 12 or GED certificate),,,,,,,,,Bad thing for society,(VOL) Don't know/Refused,Bad thing for society,Bad thing for society,Bad thing for society,,,,,(VOL) Don't know/Refused,New technology allows people to use their time more efficiently,(VOL) Neither equally,"No, do not",,,,,,,(VOL) Don't know/Refused,Yes,Yes,Yes,Not employed,Retired,,,,,,Yes,,Fairly closely,,,,(VOL) Both,Favor,(VOL) Don't know/Refused,"Yes, but have not done it in last 12 months (or unsure if done in last 12 months)",Yes,No,No,,(VOL) Don't know/Refused,Yes,Yes,,,,No,No,,,No,Never been married,"No, have not",,No,Both parents,Married,HISP2,Not Hispanic,No,,White,White,,,,White non-Hispanic,1.0,,,"Orthodox (Greek, Russian, or some other orthodox church)",,,"No, would not",Seldom,"30 to under $40,000,",,Covered by health insurance,"Yes, registered",Absolutely certain,Independent,Democrat,"Liberal, OR",,,,Own,,,,,,,,Female,No,Black or African-American,,,,English,100120,Wednesday,LLO,1.0,1.0,2.0,2.0,0.0
472.0,Complete,4968,Eastern,39139,31900.0,3,OH,0.0,U,2,2,2,Midwest,OH,39139,2.0,English,,,,,,,,,,,Female,Not too happy,Dissatisfied,Dissatisfied,Can't be too careful,"Yes, unique and distinct",Answer given,A/O different behaviors and lifestyles mentions,Family dynamics/Family-oriented/Different approach to families,,,,i think our generation kept the kids together the kids now rob and kill and we didnt have that when we were kids and people need to grt the kids in line.,Government should do more to solve problems,Somewhat important,One of the most important things,Very important but not the most,One of the most important things,Very important but not the most,Not important,Very important but not the most,Not important,No,No,"No, did not",,,"No, did not","No, did not","No, did not",Voted,Obama,,Part of the time [OR],Yes has changed,,60.0,"Some college, no 4-year degree (including associate degree)",No,,,No,,,,,Good thing for society,(VOL) Don't know/Refused,Doesn't make much difference,Good thing for society,Doesn't make much difference,,,,,New technology makes people closer to their friends and family,New technology allows people to use their time more efficiently,New technology makes life easier,"Yes, have cell phone",No,,,,,,No,No,(VOL) Don't know/Refused,No,Not employed,(VOL) Other reason (SPECIFY),<5:(VOL) Other reason (SPECIFY)>:disabled,,,,,No,No,Very closely,,,,Government,Oppose,Should be saving and investing more,"Yes, but have not done it in last 12 months (or unsure if done in last 12 months)",No,No,No,,No,Yes,No,,No,No,No,No,,,No,Widowed,"Yes, have",,No,Both parents,Married,HISP3,Not Hispanic,,No,White,White,,,,White non-Hispanic,1.0,,,Roman Catholic (Catholic),,,"Yes, would",Seldom,"10 to under $20,000,",,Covered by health insurance,"Yes, registered",Absolutely certain,(VOL) No preference,Democrat,Moderate,,,,Own,,,Some on a cell phone and some on a regular home phone,,,,,Male,No,White,,,,English,100120,Wednesday,"Dual/few, some cell",1.0,1.0,1.0,1.0,0.0
473.0,Complete,4968,Eastern,51775,40220.0,5,VA,1.0,S,3,3,4,South,VA,51775,4.0,English,,,,,,,,,,,Male,Pretty happy,Dissatisfied,Satisfied,Most people can be trusted,"Yes, unique and distinct",Answer given,Conservative/Old-fashioned/Traditional,,,,,more conservative,Government is doing too many things better left to businesses and individuals,Somewhat important,Very important but not the most,Somewhat important,One of the most important things,Somewhat important,Not important,Very important but not the most,Very important but not the most,Yes,Yes,"Yes, did this","Yes, did this","Yes, did this","Yes, did this","No, did not","Yes, did this",Voted,McCain,,Always,"No, has not changed",Obama hasn't really tried to change things,70.0,"Post-graduate training or professional schooling after college (e.g., toward a master's Degree or Ph.D., law or medical",,,,,,,,,Bad thing for society,Bad thing for society,Bad thing for society,Doesn't make much difference,Doesn't make much difference,No,,No,No,New technology makes people more isolated,New technology makes people waste too much time,New technology makes life easier,"Yes, have cell phone",No,,,No,Yes,No,No,No,Yes,Yes,Not employed,Retired,,,,,,Yes,,Fairly closely,,,,Government,Oppose,Should be saving and investing more,Yes have done it in last 12 months,No,No,Yes,No,No,No,Yes,,No,No,No,No,,,No,Married,"No, have not",,No,Both parents,Married,HISP3,Not Hispanic,,No,White,White,,,,White non-Hispanic,2.0,0.0,,Roman Catholic (Catholic),,,"No, would not",Once or twice a month,"30 to under $40,000,",,Covered by health insurance,"Yes, registered",Absolutely certain,Independent,Republican,Conservative,,,,Own,,,,All or almost all calls on a regular home phone,,,,Female,No,White,,,,English,100120,Wednesday,"Dual/few, some cell",2.0,2.0,1.0,2.0,0.0
474.0,Complete,4968,Central,17201,40420.0,3,IL,1.0,S,2,2,3,Midwest,IL,17201,3.0,English,,,,,,,,,,,Female,Pretty happy,(VOL) Don't know/Refused,Satisfied,Can't be too careful,"No, not",,,,,,,,(VOL) Don't know/Refused,Not important,Somewhat important,Not important,One of the most important things,Somewhat important,Not important,Somewhat important,Somewhat important,Yes,Yes,"No, did not","No, did not","No, did not","No, did not","No, did not","No, did not",Voted,(VOL) Refused,,Nearly always,"No, has not changed",(VOL) Don't know/Refused,57.0,High school graduate (Grade 12 or GED certificate),No,,,No,,,,,Doesn't make much difference,Doesn't make much difference,Doesn't make much difference,Doesn't make much difference,Doesn't make much difference,No,,No,No,New technology makes people closer to their friends and family,New technology allows people to use their time more efficiently,New technology makes life more complicated,"Yes, have cell phone",Yes,0.0,,No,Yes,No,No,No,Yes,Yes,Full-time,,,Work for someone else,Just a job to get you by,No,No,,,Very closely,No,Somewhat likely,Not very likely,(VOL) Don't know/Refused,(VOL) Don't know/Refused,Should be saving and investing more,"No, have not ever done it",Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,,,No,Married,"No, have not",,No,Both parents,Married,HISP3,Not Hispanic,,No,White,White,,,,White non-Hispanic,2.0,0.0,,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church",,,"No, would not",Seldom,"50 to under $75,000,",,Covered by health insurance,"Yes, registered",Chance registration has lapsed,Democrat,,"Liberal, OR",,,,Own,,,,Some on a cell phone and some on a regular home phone,,,,Female,No,White,,,,English,100120,Wednesday,"Dual/few, some cell",2.0,2.0,1.0,2.0,0.0
475.0,Complete,4968,Central,12133,0.0,5,FL,1.0,R,3,3,1,South,FL,12133,1.0,English,,,,,,,,,,,Female,Very happy,Dissatisfied,Satisfied,Most people can be trusted,"Yes, unique and distinct",Answer given,Work ethic/Hardworking/Motivated,,,,,more focused,Government should do more to solve problems,Very important but not the most,Very important but not the most,Very important but not the most,Very important but not the most,Somewhat important,Not important,Somewhat important,Very important but not the most,Yes,No,"No, did not","No, did not","No, did not","No, did not","No, did not","No, did not",Voted,Obama,,Nearly always,Yes has changed,,44.0,High school graduate (Grade 12 or GED certificate),No,,,(VOL) Don't know/Refused,,,,,Bad thing for society,Doesn't make much difference,Doesn't make much difference,Doesn't make much difference,Doesn't make much difference,No,,No,No,New technology makes people closer to their friends and family,New technology makes people waste too much time,New technology makes life easier,"Yes, have cell phone",Yes,2.0,,No,No,No,No,Yes,Yes,Yes,Full-time,,,Work for someone else,A stepping stone to a career,No,Yes,,,Fairly closely,Yes,Very likely,Not at all likely,(VOL) Don't know/Refused,(VOL) Don't know/Refused,Should be saving and investing more,Yes have done it in last 12 months,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1.0,"No, not visible",No,Living with a partner,,,No,Both parents,Divorced,HISP3,Not Hispanic,,No,Black or African-American,Black or African-American,,,,Black non-Hispanic,2.0,0.0,,"Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church",,,"Yes, would",Seldom,"10 to under $20,000,",,Not covered by health insurance,"Yes, registered",Absolutely certain,Democrat,,(VOL) Don't know/Refused,,,,Own,,,,Some on a cell phone and some on a regular home phone,,,,Male,No,White,,,,English,100120,Wednesday,"Dual/few, some cell",2.0,2.0,1.0,2.0,1.0
476.0,Complete,4968,Central,55021,31540.0,3,WI,1.0,S,2,2,1,Midwest,WI,55021,1.0,English,,,,,,,,,,,Female,Pretty happy,(VOL) Don't know/Refused,Satisfied,Most people can be trusted,"Yes, unique and distinct",Answer given,A/O general miscellaneous mentions,,,,,were seniors,Government is doing too many things better left to businesses and individuals,Not important,One of the most important things,One of the most important things,One of the most important things,Not important,Not important,One of the most important things,Very important but not the most,Yes,Yes,"No, did not","No, did not","No, did not","No, did not","No, did not","No, did not",Voted,(VOL) Refused,,Always,Yes has changed,,76.0,High school graduate (Grade 12 or GED certificate),,,,,,,,,Bad thing for society,Doesn't make much difference,(VOL) Don't know/Refused,Good thing for society,Doesn't make much difference,No,,No,No,New technology makes people closer to their friends and family,New technology allows people to use their time more efficiently,New technology makes life easier,"Yes, have cell phone",No,,,No,No,No,No,No,Yes,Yes,Not employed,Choose not to work,,,,,,Yes,,Fairly closely,,,,(VOL) Don't know/Refused,(VOL) Don't know/Refused,Saving and investing as much as you should,Yes have done it in last 12 months,Yes,Yes,No,No,No,Yes,Yes,,Yes,No,No,No,,,No,Widowed,"No, have not",,No,Both parents,Married,HISP2,Not Hispanic,No,,White,White,,,,White non-Hispanic,1.0,,,Roman Catholic (Catholic),,,"No, would not",Once a week,"20 to under $30,000,",,Covered by health insurance,"Yes, registered",Absolutely certain,Republican,,Moderate,,,,Own,,,All or almost all calls on a regular home phone,,,,,Male,No,White,,,,English,100120,Wednesday,"Dual/few, some cell",1.0,1.0,1.0,1.0,0.0
