Code,StationName,Staffed,StationType,Address1,Address2,Address3,City,State,Zip,Country,Division,PublicPhone,TicketOffice,QuikTrak,MetrolinkTVM,CheckedBaggage,AmtrakExpress,HandleUSMail,Lounge,UnaccompaniedChildren,AdvPayPPO,AmtrakTrains,Non-AmtrakTrains,DedicatedThruway,CoordinatedThruway,OtherTransportation,GroupCity,IATACode,IATAName,NonAmtrakTicketSale,TimeZone,ObserveDayLightSaving,CheckInWService,CheckInWOService,Latitude/Longitude,Elevation,Population,FreeText,TicketOfficeName,TicketOfficePh,TicketOfficeATSPh,TicketOfficeFax,TicketOfficeATSFax,TicketOfficeQueue,TicketOfficeMshPrinter,StationServicesName,StationServicesPh,StationServicesATSPh,StationServicesFax,StationServicesATSFax,StationServicesQueue,StationServicesMsgPrinter,StationServicesPaging,StationServicesATSPaging,StationServicesLostFoundPh,StationServicesLostFoundATSPh,FirstLvlSupervisorName,FirstLvlSupervisorTitle,FirstLvlSupervisorLocation,FirstLvlSupervisorPh,FirstLvlSupervisorATSPh,FirstLvlSupervisorFax,FirstLvlSupervisorATSFax,FirstLvlSupervisorQueue,FirstLvlSupervisorMsgPrinter,SecondLvlSupervisorName,SecondLvlSupervisorTitle,SecondLvlSupervisorLocation,SecondLvlSupervisorPh,SecondLvlSupervisorATSPh,SecondLvlSupervisorFax,SecondLvlSupervisorATSFax,SecondLvlSupervisorQueue,SecondLvlSupervisorMsgPrinter,WaitingRoomHours,BaggageHours,MeetAndAssistHours,TicketHours,Non-AmtrakTicket,Quik-TrakHours,MetrolinkTVMHours,LoungeHours,ExpressHours,MailOfficeHours,ParkingHours
AKY,"Ashland, Kentucky",N,Station Building (with waiting room),99 15th Street,,,Ashland,KY,41101,United States,Mid-Atlantic,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,E,Y,30,30,"38.480875,-82.639603",546,21570,,Unstaffed Station,Exemption 6,,,,,,,,,,,,,,,,,Exemption 6,"District Manager, Customer Service","Toledo, OH",Exemption 6,NONE    ,Exemption 6,NONE    ,TO7,TOLL,Exemption 6,Assist Superintendent Passenger Service,"Chicago, Illinois",Exemption 6,,Exemption 6,,,,,,,,,,,,,,
ALB,"Albany-Rensselaer, New York",Y,Station Building (with waiting room),525 East Street,,,Rensselaer,NY,12144-2310,United States,Northeast,518-462-5710,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,,,,Via Rail Canada,E,Y,60,30,"42.641029,-73.741147",30,110000,,Exemption 6,Exemption 6,Exemption 6,Exemption 6,Exemption 6,AL7,ALBL,Exemption 6,Exemption 6,Exemption 6,Exemption 6,Exemption 6,AL7,ALBL,Exemption 6,Exemption 6,Exemption 6,Exemption 6,Exemption 6,District Manager Stations,Albany/Rensselaer,Exemption 6,Exemption 6,Exemption 6,Exemption 6,AL7,ALBL,Exemption 6,District Superintendent Empire Service,"Albany/Rensselaer,NY",Exemption 6,Exemption 6,,,AL7,,S----FS 0000-0215 0500-2359; -MTWT-- 0000-0115 0415-2359,SMTWTFS 0600-2200,SMTWTFS 0600-2200,S-----S 0530-2200; -MTWTF- 0500-2200,,S----FS 0000-0215 0500-2359; -MTWT-- 0000-0115 0415-2359,,,SMTWTFS 0600-2200,,SMTWTFS 0000-2359
ALC,"Alliance, Ohio",N,Platform only (no shelter),820 East Main Street,,,Alliance,OH,44601,United States,Central,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,E,Y,30,30,"40.921275,-81.092904",1078,23376,,Unstaffed Station,Exemption 6,,,,,,,,,,,,,,,,,Exemption 6,"District Manager, Customer Service","Toledo, OH",Exemption 6,NONE    ,Exemption 6,NONE    ,TO7,TOLL,Exemption 6,Assist Superintendent Passenger Service,"Chicago, Illinois",Exemption 6,,Exemption 6,,,,,,,,,,,,,,
ALD,"Alderson, West Virginia",N,Platform with Shelter,1 C&O Plaza on Railroad Avenue,,,Alderson,WV,24910,United States,Mid-Atlantic,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,E,Y,30,30,"37.724277,-80.644856",1550,1086,,Unstaffed Station,000-000-0000,,,,,,,,,,,,,,,,,Exemption 6,"District Manager, Customer Service",Richmond VA,Exemption 6,Exemption 6,Exemption 6,Exemption 6,RV7,RVRP,Exemption 6,Assistant Superintendent,Washington DC,Exemption 6,Exemption 6,Exemption 6,Exemption 6,WA3,,,,,,,,,,,,
ALI,"Albion, Michigan",N,Station Building (with waiting room),300 North Eaton Street,,,Albion,MI,49224,United States,Central,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,No,E,Y,30,30,"42.247196,-84.755814",948,12115,,Unstaffed Station,800-872-7245,,,,,,,,,,,,,,,,,Exemption 6,District Manager Station-East,"Toledo, OH",Exemption 6,NONE    ,Exemption 6,NONE    ,TO7,TOLL,Exemption 6,Superintendent Passenger Service,"Chicago, Illinois",Exemption 6,Exemption 6,Exemption 6,,,,SMTWTFS 0800-1900,,,,,,,,,,
ALM,"Alpena, Michigan",N,Curbside Bus Stop only (no shelter),1141 US Highway 23 North,Z's Crossroads Gas Station,,Alpena,MI,49707,United States,Central,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,,,,Y,,,,,,E,N,30,30,"45.089602,-83.457868",627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALN,"Alton, Illinois",Y,Station Building (with waiting room),3400 College Avenue,,,Alton,IL,62002-5000,United States,Central,618-462-1879,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,,,,,Via Rail Canada,C,Y,60,30,"38.904723,-90.136276",491,29269,,Exemption 6,Exemption 6,NONE    ,Exemption 6,NONE    ,ALN,ALNL,Exemption 6,Exemption 6,NONE    ,Exemption 6,NONE    ,ALN,ALNL,Exemption 6,NONE    ,Exemption 6,NONE    ,Exemption 6,District Station Manager,"St. Louis, Missouri",Exemption 6,Exemption 6,Exemption 6,Exemption 6,ST7,STLL,Exemption 6,Assistant Superintendent - Passenger Services,"Chicago, IL",Exemption 6,,,,,,SMTWTFS 0600-1600,,SMTWTFS 0615-1545,SMTWTFS 0600-1550,,,,,,,
ALP,"Alpine, Texas",N,Station Building (with waiting room),102 West Holland Avenue,,,Alpine,TX,79830,United States,Southwest,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,C,Y,30,30,"30.357302,-103.661513",4483,6035,,Unstaffed Station,000-000-0000,,,,,,,,,,,,,,,,,Exemption 6,District Manager Stations,"Austin, TX",Exemption 6,NONE    ,Exemption 6,NONE    ,AUS,AUSL,Exemption 6,Acting Superintendent - Passenger Services,"Los Angeles, CA",Exemption 6,Exemption 6,Exemption 6,Exemption 6,LA3,,,,,,,,,,,,
ALT,"Altoona, Pennsylvania",Y,Station Building (with waiting room),1231 11th Avenue,,,Altoona,PA,16601,United States,Mid-Atlantic,814-946-1100,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,,,,Via Rail Canada,E,Y,30,30,"40.514475,-78.401620",1180,56500,Station open until Train 43 departs,Exemption 6,Exemption 6,NONE    ,Exemption 6,NONE    ,ALT,ALTL,Exemption 6,Exemption 6,NONE    ,Exemption 6,NONE    ,ALT,ALTL,Exemption 6,NONE    ,Exemption 6,NONE    ,Exemption 6,"District Manager, Stations","Pittsburgh, PA.",Exemption 6,Exemption 6,Exemption 6,Exemption 6,Pgh,Pghl,Exemption 6,"Assistant Superintendent, Stations","Philadelphia, Pa",Exemption 6,Exemption 6,Exemption 6,Exemption 6,PHL,P436,SMTWTFS 0900-1730,,SMTWTFS 0900-1730,SMTWTFS 0900-1715,,,,,,,
ALX,"Alexandria, Virginia",Y,Station Building (with waiting room),110 Callahan Drive,,,Alexandria,VA,22301-2752,United States,Mid-Atlantic,703-836-4339,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,,,,Via Rail Canada,E,Y,60,30,"38.806503,-77.062330",30,136974,,Exemption 6,Exemption 6,Exemption 6,Exemption 6,Exemption 6,ALX,ALXL,Exemption 6,Exemption 6,Exemption 6,Exemption 6,Exemption 6,ALX,ALXL,Exemption 6,NONE    ,Exemption 6,NONE    ,Exemption 6,"Station Manager, Customer Services",Washington D.C.,Exemption 6,Exemption 6,Exemption 6,Exemption 6,was,P438,Exemption 6,Assistant Superintendent,Washington DC,Exemption 6,Exemption 6,Exemption 6,Exemption 6,WA3,????,SMTWTFS 0600-2100,SMTWTFS 0600-2100,SMTWTFS 0600-2100,SMTWTFS 0600-2100,,SMTWTFS 0600-2100,,,SMTWTFS 0600-2100,SMTWTFS 0600-2100,SMTWTFS 0000-2359
ALY,"Albany, Oregon",Y,Station Building (with waiting room),110 10th Avenue SW,,,Albany,OR,97321-2457,United States,Pacific Northwest,541-928-0885,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,Y,Y,Y,,,,Via Rail Canada,P,Y,45,30,"44.630464,-123.102774",223,40852,,Exemption 6,Exemption 6,NONE    ,Exemption 6,NONE    ,ALY,ALYL,Exemption 6,Exemption 6,NONE    ,Exemption 6,NONE    ,ALY,ALYL,Exemption 6,NONE    ,Exemption 6,NONE    ,Exemption 6,District Manager,"Portland, OR",Exemption 6,Exemption 6,Exemption 6,Exemption 6,PD7,YCE7,Exemption 6,Asst Superintendent Passenger Service,"Seattle, WA",Exemption 6,Exemption 6,Exemption 6,Exemption 6,SE7,P706,SMTWTFS 0800-1745,SMTWTFS 0800-1730,SMTWTFS 0915-1715,SMTWTFS 0800-1745,,SMTWTFS 0800-1745,,,SMTWTFS 0800-1730,,
AMM,"Amherst, Massachusetts",N,Platform with Shelter,13 Railroad Street,,,Amherst,MA,01002-2318,United States,Northeast,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,E,Y,30,30,"42.375315,-72.511567",258,34049,,Unstaffed Station,000-000-0000,,,,,,,,,,,,,,,,,Exemption 6,Supervisor customer Services,"Springfield, MA",Exemption 6,Exemption 6,Exemption 6,Exemption 6,SPG,SPGL,Exemption 6,Manager of Cusotmer Service,"New Haven, CT",Exemption 6,Exemption 6,Exemption 6,Exemption 6,NH7,NHVL,SMTWTFS 1230-1430 1530-1730,,,,,,,,,,
AMS,"Amsterdam, New York",N,Platform only (no shelter),466 West Main Street,Route 5 West,,Amsterdam,NY,12010-1053,United States,Northeast,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,E,Y,30,30,"42.953719,-74.219500",270,22000,Station building closed due to flood damage,Exemption 6,Exemption 6,,,,,,Exemption 6,Exemption 6,Exemption 6,Exemption 6,,,,,,,,Exemption 6,District Manager Stations,ALBANY/RENSSELAER NY,Exemption 6,Exemption 6,Exemption 6,Exemption 6,AL7,ALBL,Exemption 6,District Superintendent Empire Service,Albany/Rensselaer,Exemption 6,Exemption 6,,,Al7,,,,,,,,,,,,
ANA,"Anaheim, California",Y,Station Building (with waiting room),2150 East Katella Avenue,Anaheim Stadium Parking Lot,,Anaheim,CA,92806,United States,Southwest,714-385-1448,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,N,N,,,,Via Rail Canada,P,Y,45,30,"33.803507,-117.882263",157,200100,future hall of famer Barry Bonds played near here,Exemption 6,Exemption 6,NONE    ,Exemption 6,NONE    ,ANA,A07F,Exemption 6,Exemption 6,NONE    ,Exemption 6,NONE    ,ANA,A07F,Exemption 6,NONE    ,Exemption 6,NONE    ,Exemption 6,District Manager of Stations,"Santa Barbara, CA",Exemption 6,NONE    ,Exemption 6,NONE    ,SB7,SBAL,Exemption 6,District Manager of Stations,"Santa Barbara, CA",Exemption 6,,,,,,SMTWTFS 0615-2230,SMTWTFS 0615-2230,SMTWTFS 0630-1830 2000-2300,SMTWTFS 0615-2230,,SMTWTFS 0615-2230,SMTWTFS 0000-2359,,,,
APP,"Appleton, Wisconsin",N,Curbside Bus Stop only (no shelter),100 East Washington Street,Appleton Transit Center,,Appleton,WI,54911-5448,United States,Central,414-733-2318,N,N,N,N,N,N,N,N,Y,N,N,N,Y,,,,,,C,Y,30,30,"44.263311,-88.405852",791,70191,,unstaffed,Exemption 6,,,,,,,,,,,,,,,,,Exemption 6,District Manager of Stations,433 West St. Paul Avenue / Milwaukee / WI / 53203,Exemption 6,NONE    ,Exemption 6,NONE    ,MK7,MKEL,Exemption 6,"ASSISTANT SUPERINTENDENT, PASSENGER SERVICES","525 W. Van Buren St., Chicago, IL 60607",Exemption 6,Exemption 6,Exemption 6,Exemption 6,,,SMTWTFS 0900-1700,,,,,,,,,,
ARB,"Ann Arbor, Michigan",Y,Station Building (with waiting room),325 Depot Street,,,Ann Arbor,MI,48104,United States,Central,734-994-4906,Y,Y,N,N,N,N,N,Y,Y,Y,N,Y,N,N,,,,VIA Rail Canada,E,Y,30,30,"42.287692,-83.743154",780,99797,"Minimal parking esp weekends/holidays, see ""parking"" screen",Exemption 6,Exemption 6,NONE    ,Exemption 6,NONE    ,ARB,ARBL,Exemption 6,Exemption 6,NONE    ,Exemption 6,NONE    ,ARB,ARBL,Exemption 6,NONE    ,Exemption 6,NONE    ,Exemption 6,District Station Manager-East,"Toledo, OH",Exemption 6,NONE    ,Exemption 6,NONE    ,TO7,TOLL,Exemption 6,"Assist. Superintendent, Customer Service","Chicago, Illinois",Exemption 6,,Exemption 6,,,,SMTWTFS 0630-2359,,SMTWTFS 0630-2359,SMTWTFS 0630-1500 1530-1930 2000-2330,,SMTWTFS 0630-2359,,,,,
ARC,"Arcata, California",N,Curbside Bus Stop only (no shelter),925 E Street,Transit Center,,Arcata,CA,95521-6239,United States,Pacific,000-000-0000,N,N,N,N,N,N,N,N,Y,N,N,Y,N,,,,,,P,Y,30,30,"40.868633,-124.083805",33,14140,"For more information, see ""Thruway Service""",Unstaffed Thruway Bus Stop,000-000-0000,,,,,,,,,,,,,,,,,Exemption 6,Manager Thruway Bus Operations,"Bakersfield, California",Exemption 6,,Exemption 6,,,,Exemption 6,Director of Bus Operations,"Los Angeles, California",Exemption 6,Exemption 6,Exemption 6,Exemption 6,,,,,,,,,,,,,
ARD,"Ardmore, Pennsylvania",N,Station Building (with waiting room),Station Road and Lancaster Avenue,,,Ardmore,PA,19003,United States,Mid-Atlantic,000-000-0000,N,Y,N,N,N,N,N,N,Y,Y,Y,N,N,,,,,Septa,E,Y,30,30,"40.008278,-75.290399",358,12616,,Unstaffed Station,000-000-0000,,,,,,,,,,,,,,,,,Exemption 6,Station Manager,"Philadelphia, PA",Exemption 6,Exemption 6,Exemption 6,Exemption 6,PH7,????,Exemption 6," Assistant Superintendent, Stations","Philadelphia, PA",Exemption 6,Exemption 6,Exemption 6,Exemption 6,PH7,????,-MTWTF- 0600-1300,,,,,-MTWTF- 0600-1300,,,,,
ARI,"Astoria (Shell Station Mini Mart), Oregon",N,Curbside Bus Stop only (no shelter),95 West Marine Drive,Shell Station/Mini Mart,,Astoria,OR,97103,United States,Pacific,503-325-4162,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,ARX,,,For Bus to PDX,P,Y,30,30,"46.190543,-123.844997",21,9813,,Exemption 6,Exemption 6,,,,,,,,,,,,,,,,,Exemption 6,Service Manager,"Portland, Oregon",Exemption 6,,Exemption 6,,,,,,,,,,,,,SMTWTFS 0700-1100,,,,,,,,,,
ARK,"Arkadelphia, Arkansas",N,Platform with Shelter,798 South 5th Street,,,Arkadelphia,AR,71923-6237,United States,Central,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,C,Y,30,30,"34.113919,-93.053284",192,10475,,UnStaffed Station,000-000-0000,,,,,,,,,,,,,,,,,Exemption 6,District Station Manager,"St.Louis, MO",Exemption 6,Exemption 6,Exemption 6,Exemption 6,ST7,STLL,Exemption 6,asst. Superintendent - Passenger Services,"Chicago, IL",Exemption 6,,,,,,SMTWTFS 0518-2125,,,,,,,,,,
ARN,"Auburn, California",N,Platform with Shelter,277 Nevada Street,at Fulweiler Street,,Auburn,CA,95603,United States,Pacific,000-000-0000,N,Y,N,N,N,N,N,N,Y,Y,N,Y,N,N,,,,,P,Y,30,30,"38.903638,-121.083187",1271,13000,"For more information, see ""Thruway Service""",Unstaffed Station,000-000-0000,,,,,,,,,,,,,,,,,Exemption 6,Manager Of Stations,"Sacramento, CA",Exemption 6,,Exemption 6,,,,Exemption 6,District Manager Of Stations,"Sacramento, CA",Exemption 6,,Exemption 6,,,,,,,,,SMTWTFS 0000-2359,,,,,
ART,"Astoria (Transit Center), Oregon",N,Curbside Bus Stop only (no shelter),900 Marine Drive,Astoria Transit Center,,Astoria,OR,97103,United States,Pacific Northwest,503-861-7433,N,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,,,,Bus to Portland,P,Y,30,30,"46.190210,-123.833290",10,,,None,000-000-0000,,,,,,,,,,,,,,,,,Exemption 6,Service Manager,"Portland, Oregon",Exemption 6,,Exemption 6,,,,Exemption 6,Asst Superintendent Passenger Services,"Seattle, Washington",Exemption 6,Exemption 6,,,,,-MTWTFS 0730-1800,,,,,,,,,,
ASD,"Ashland, Virginia",N,Platform with Shelter,112 North Railroad Avenue,,,Ashland,VA,23005,United States,Mid-Atlantic,000-000-0000,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,E,Y,30,30,"37.759596,-77.481304",212,5800,,Unstaffed Station,000-000-0000,,,,,,,,,,,,,,,,,Exemption 6,"Acting District Manager, Customer Services","Richmond, VA (RVR)",Exemption 6,Exemption 6,Exemption 6,Exemption 6,RV7,RVRP,Exemption 6,"Assistant Superintendent, Customer Service","Washington, DC",Exemption 6,Exemption 6,Exemption 6,Exemption 6,WA3,????,,,,,,,,,,,
AST,"Aldershot, Ontario",Y,Station Building (with waiting room),1199 Waterdown Road,,,Aldershot,ON,L7T 4A8,Canada,VIA Rail Canada Inc.,888-842-7245,Y,N,N,N,N,N,N,N,Y,Y,Y,N,N,,,XLY,VIAnet:  ALDR,VIA Rail Canada,E,Y,30,30,"43.313413,-79.855712",351,3868,Ticketing:  G/OCC/VIA/P33,Station Staffed By Via Rail Canada,Exemption 6,NONE    ,000-000-0000,NONE    ,0,None,Station Staffed By Via Rail Canada,Exemption 6,NONE    ,000-000-0000,NONE    ,0,None,Exemption 6,NONE    ,Exemption 6,NONE    ,Exemption 6,"Manager, Terminal Services (VIA)","Room 222, Toronto, Ontario",Exemption 6,NONE    ,Exemption 6,NONE    ,TWO,????,Exemption 6,"Manager, Terminal Services (Via Rail)","Room 222, Toronto, Ontario",Exemption 6,NONE    ,Exemption 6,NONE    ,TWO,????,S------ 0730-2200; -MTWT-- 0530-1300 1430-2200; -----F- 0530-2200; ------S 0630-2100,,S------ 0730-2255; -MTWTF- 0530-2230; ------S 0600-2145,,S------ 0730-2200; -MTWT-- 0530-1300 1430-2200; -----F- 0530-2200; ------S 0630-2100,,,,,,
ATA,"Atascadero, California",N,Curbside Bus Stop only (no shelter),6904 El Camino Real,Atascadero Transit stop ,in front of Chamber of Commerce,Atascadero,CA,93422,United States,Pacific,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,,,,,,P,Y,30,30,"35.487255,-120.666534",855,20000,"For more information, See ""Thruway Service""",Exemption 6,Exemption 6,,,,,,,,,,,,,,,,,Exemption 6,Manager Thruway Bus Operations,"Bakersfield, California",Exemption 6,,Exemption 6,,BUS,,Exemption 6,Director Thruway Bus Operations,"Los Angeles, California",Exemption 6,Exemption 6,Exemption 6,Exemption 6,BUS,LADP,,,,,,,,,,,
ATI,"Athol, Idaho",N,Curbside Bus Stop only (no shelter),29801 US Highway 95,Cydco Cenex Gas Station,,Athol,ID,83801,United States,Pacific Northwest,800-USA-RAIL,N,N,N,N,N,N,N,N,Y,,,,Y,,,,,,P,Y,15,15,"47.947193,-116.699808",2405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
