Year,1F,2F,3F,4F,5F,1M,2M,3M,4M,5M
1941,Mary,Barbara,Patricia,Carol,Linda,James,Robert,John,William,Richard
1940,Mary,Barbara,Patricia,Judith,Betty,James,Robert,John,William,Richard
1939,Mary,Barbara,Patricia,Betty,Shirley,Robert,James,John,William,Richard
1938,Mary,Barbara,Patricia,Betty,Shirley,Robert,James,John,William,Richard
1937,Mary,Barbara,Patricia,Shirley,Betty,Robert,James,John,William,Richard
1936,Mary,Shirley,Barbara,Betty,Patricia,Robert,James,John,William,Richard
1935,Mary,Shirley,Barbara,Betty,Patricia,Robert,James,John,William,Richard
1934,Mary,Betty,Barbara,Shirley,Dorothy,Robert,James,John,William,Richard
1933,Mary,Betty,Barbara,Dorothy,Joan,Robert,James,John,William,Richard
1932,Mary,Betty,Barbara,Dorothy,Joan,Robert,James,John,William,Richard
1931,Mary,Betty,Dorothy,Barbara,Joan,Robert,James,John,William,Richard
1930,Mary,Betty,Dorothy,Helen,Margaret,Robert,James,John,William,Richard
1929,Mary,Betty,Dorothy,Helen,Margaret,Robert,James,John,William,Charles
1928,Mary,Betty,Dorothy,Helen,Margaret,Robert,John,James,William,Charles
1927,Mary,Dorothy,Betty,Helen,Margaret,Robert,John,James,William,Charles
1926,Mary,Dorothy,Betty,Helen,Margaret,Robert,John,James,William,Charles
1925,Mary,Dorothy,Betty,Helen,Margaret,Robert,John,William,James,Charles
1924,Mary,Dorothy,Helen,Betty,Margaret,Robert,John,William,James,Charles
1923,Mary,Dorothy,Helen,Margaret,Betty,John,Robert,William,James,Charles
1922,Mary,Dorothy,Helen,Margaret,Ruth,John,Robert,William,James,Charles
1921,Mary,Dorothy,Helen,Margaret,Ruth,John,Robert,William,James,Charles
1920,Mary,Dorothy,Helen,Margaret,Ruth,John,William,Robert,James,Charles
1919,Mary,Helen,Dorothy,Margaret,Ruth,John,William,James,Robert,Charle
